학제별,설립별,대학명,지역별,입학정원 합(명),평균 입학금(천원),평균등록금(천원)
대학,국공립,강릉원주대학교,강원,7452,0,4264.5
대학,국공립,강원대학교,강원,18355,0,4115.1
대학,국공립,경남과학기술대학교,경남,4890,0,3770.4
대학,국공립,경북대학교,대구,18968,0,4447.9
대학,국공립,경상대학교,경남,12411,0,4013.4
대학,국공립,경인교육대학교,인천,2392,0,3189
대학,국공립,공주교육대학교,충남,1416,0,3424
대학,국공립,공주대학교,충남,11013,0,3824.1
대학,국공립,광주과학기술원,광주,780,0,2060
대학,국공립,광주교육대학교,광주,1304,0,3476.5
대학,국공립,군산대학교,전북,6978,0,3926.2
대학,국공립,금오공과대학교,경북,4881,0,3772
대학,국공립,대구경북과학기술원,대구,870,0,0
대학,국공립,대구교육대학교,대구,1532,0,3604
대학,국공립,목포대학교,전남,6489,0,3896.1
대학,국공립,목포해양대학교,전남,2764,0,3409.4
대학,국공립,부경대학교,부산,13175,0,4042
대학,국공립,부산교육대학교,부산,1424,0,3024
대학,국공립,부산대학교,부산,17192,0,4415.7
대학,국공립,서울과학기술대학교,서울,8385,0,5422.3
대학,국공립,서울교육대학교,서울,1420,0,3088
대학,국공립,서울대학교,서울,13148,0,6011.2
대학,국공립,서울시립대학교,서울,6842,0,2391.4
대학,국공립,순천대학교,전남,6543,0,3946.2
대학,국공립,안동대학교,경북,5844,0,3748.8
대학,국공립,울산과학기술원,울산,1440,0,6165.9
대학,국공립,인천대학교,인천,10005,0,4652.1
대학,국공립,전남대학교,광주,16294,0,4149
대학,국공립,전북대학교,전북,15507,0,4308.7
대학,국공립,전주교육대학교,전북,1140,0,3272
대학,국공립,제주대학교,제주,8528,0,3798.5
대학,국공립,진주교육대학교,경남,1276,0,3445
대학,국공립,창원대학교,경남,7066,0,3895.1
대학,국공립,청주교육대학교,충북,1144,0,3230
대학,국공립,춘천교육대학교,강원,1284,0,3185
대학,국공립,충남대학교,대전,14225,0,4238.9
대학,국공립,충북대학교,충북,11438,0,4272.6
대학,국공립,한경대학교,경기,4836,0,4062.5
대학,국공립,한국과학기술원,대전,3880,0,6866
대학,국공립,한국교원대학교,충북,2184,0,3182.8
대학,국공립,한국교통대학교,충북,7716,0,4105.9
대학,국공립,한국방송통신대학교,서울,249800,0,755.6
대학,국공립,한국예술종합학교,서울,2252,0,4806.5
대학,국공립,한국전통문화대학교,충남,560,0,3268.4
대학,국공립,한국체육대학교,서울,2270,0,3872.2
대학,국공립,한국해양대학교,부산,5771,0,3738.2
대학,국공립,한밭대학교,대전,7424,0,4450.2
대학,사립,가야대학교,경남,2536,360,6717.7
대학,사립,가천대학교,경기,15324,601,8226.3
대학,사립,가톨릭관동대학교,강원,8538,462,7183.4
대학,사립,가톨릭대학교,경기,7005,598,7131.9
대학,사립,감리교신학대학교,서울,800,391,6206
대학,사립,강남대학교,경기,6030,607,7413.7
대학,사립,건국대학교,서울,18580,636,8119.5
대학,사립,건양대학교,충남,6975,378,6751.8
대학,사립,건양사이버대학교,대전,2985,300,2437
대학,사립,경기대학교,경기,11803,429,7246.5
대학,사립,경남대학교,경남,11708,281,6457.6
대학,사립,경동대학교,강원,7140,530,7569.1
대학,사립,경성대학교,부산,11260,300,6522.4
대학,사립,경운대학교,경북,4762,420,7626.5
대학,사립,경일대학교,경북,6387,420,7303.2
대학,사립,경주대학교,경북,3048,444,6794.9
대학,사립,경희대학교,서울,19517,620,7859.2
대학,사립,경희사이버대학교,서울,6330,300,2796.6
대학,사립,계명대학교,대구,18812,424,7171.6
대학,사립,고려대학교,서울,21056,676.3,8266.8
대학,사립,고려사이버대학교,서울,7500,100,2223.8
대학,사립,고신대학교,부산,3696,335.1,6607.8
