, 일 , 월 , 화 , 수 , 목 , 금 , 토 , 미상 
 절도 ,33333,36789,35410,38103,36553,38617,37517,358
 장물 ,279,403,441,882,466,447,442,21
 손괴 ,6438,5570,5899,5795,5869,6386,6908,86
 살인 ,209,203,183,204,194,203,178,16
 강도 ,944,853,894,904,946,934,877,27
 방화 ,262,244,289,262,289,261,252,7
 강간 ,2395,2145,2231,2286,2281,2317,2381,120
 폭행 ,17129,14507,16368,15834,16129,16733,18495,329
 상해 ,11865,10497,11820,11562,11876,11950,12688,428
 협박 ,513,622,635,610,622,574,510,66
 공갈 ,815,906,940,944,878,956,989,126
 약취와유인 ,73,75,57,79,45,84,66,6
 체포와감금 ,122,144,112,107,141,118,111,24
 폭력행위등처벌에관한법률위반 ,9658,7724,7907,7787,8124,8108,9466,242
 간통 ,305,329,316,297,344,319,372,22
 도박과복표 ,3752,4967,4732,4623,4692,4950,3784,100
 과실치사상 ,202,149,174,170,190,190,214,7
 업무상과실치사상 ,281,392,410,416,410,379,409,18
 실화 ,267,262,254,251,292,278,284,1
 주거침입 ,801,857,809,896,834,764,822,46
 유기 ,20,19,15,19,15,16,13,
 교통사고처리특례법위반 ,24295,27926,28496,28690,28674,30805,30825,105
 도로교통법위반 ,5814,5165,5478,5566,5701,6072,6519,46
